player_name,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
Yvonne Turner,UFA,9,2,139,36,12,37,0.324,9,30,0.3,3,7,0.429,9,11,0.818,3,11,14,18,13,3,0,12
Jasmine Thomas,UFA,5,5,109,33,8,30,0.267,3,17,0.17600000000000002,5,13,0.385,12,13,0.9229999999999999,2,9,11,15,7,3,1,7
Napheesa Collier,--,4,4,91,29,11,26,0.423,9,19,0.474,2,7,0.28600000000000003,5,7,0.7140000000000001,2,10,12,4,1,2,1,9
Jocelyn Willoughby,--,11,4,121,29,11,26,0.423,8,15,0.5329999999999999,3,11,0.273,4,8,0.5,2,16,18,4,9,5,2,8
Li Yueru,--,16,0,82,28,8,18,0.444,8,18,0.444,0,0,,12,12,1,5,19,24,2,13,2,2,9
Sydney Colson,UFA,18,0,123,28,10,32,0.313,7,21,0.33299999999999996,3,11,0.273,5,5,1,3,5,8,18,7,2,0,14
Kierstan Bell,Rookie,21,1,121,27,10,33,0.303,7,11,0.636,3,22,0.136,4,4,1,4,15,19,7,5,2,3,10
Jasmine Dickey,Rookie,20,0,93,21,7,33,0.212,6,29,0.207,1,4,0.25,6,9,0.667,6,6,12,2,5,4,1,9
Kristine Anigwe,UFA,10,1,65,15,5,10,0.5,5,10,0.5,0,0,,5,10,0.5,5,8,13,2,6,1,2,12
Mercedes Russell,RFA,5,0,54,10,4,8,0.5,4,8,0.5,0,0,,2,3,0.667,2,7,9,1,7,0,0,7
Lorela Cubaj,UFA,11,0,88,8,4,12,0.33299999999999996,4,12,0.33299999999999996,0,0,,0,0,,9,14,23,4,5,0,2,12
Rae Burrell,Hardship,3,1,44,5,1,9,0.111,0,3,0,1,6,0.16699999999999998,2,2,1,1,2,3,1,1,2,0,4
Karlie Samuelson,Hardship,1,0,10,3,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,0,0,,0,3,3,1,1,0,0,1
Brittney Griner,UFA,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Kia Nurse,UFA,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Kaila Charles,UFA,1,0,2,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1
Tina Charles,UFA,34,26,982,502,198,433,0.457,159,323,0.49200000000000005,39,110,0.355,67,81,0.8270000000000001,51,198,249,67,73,25,23,96
Emma Meesseman,UFA,36,36,1030,448,194,340,0.5710000000000001,181,302,0.599,13,38,0.342,47,53,0.887,62,137,199,137,51,50,30,90
Sue Bird,UFA,31,31,818,242,85,211,0.40299999999999997,29,67,0.433,56,144,0.389,16,16,1,6,53,59,186,60,37,4,23
Destanni Henderson,Rookie,36,5,589,191,71,177,0.401,45,106,0.425,26,71,0.366,23,32,0.7190000000000001,27,30,57,89,60,27,3,32
Emily Engstler,Rookie,35,6,638,181,72,182,0.396,56,137,0.409,16,45,0.35600000000000004,21,38,0.5529999999999999,72,109,181,51,48,26,40,110
Kennedy Burke,--,16,4,222,87,33,74,0.446,22,42,0.524,11,32,0.344,10,17,0.588,8,27,35,7,8,16,4,17
Damiris Dantas,--,15,15,262,77,28,92,0.304,12,31,0.387,16,61,0.262,5,6,0.833,10,47,57,28,16,3,1,18
Julie Allemand,--,25,4,402,74,25,60,0.41700000000000004,16,29,0.552,9,31,0.29,15,18,0.833,9,30,39,85,33,14,3,23
Kia Vaughn,UFA,29,1,401,73,32,80,0.4,32,79,0.405,0,1,0,9,13,0.6920000000000001,30,63,93,25,34,10,8,50
Rui Machida,UFA,36,2,463,65,26,84,0.31,19,50,0.38,7,34,0.20600000000000002,6,9,0.667,6,34,40,93,38,16,2,25
Jasmine Walker,Rookie,32,1,281,51,19,76,0.25,9,26,0.34600000000000003,10,50,0.2,3,3,1,12,36,48,6,15,6,3,30
Beatrice Mompremier,Reserved,21,0,175,45,20,44,0.455,20,44,0.455,0,0,,5,13,0.385,20,39,59,8,15,2,12,28
Megan Walker,--,12,0,115,39,14,38,0.368,7,19,0.368,7,19,0.368,4,6,0.667,3,6,9,5,12,3,0,8
Yvonne Anderson,UFA,11,0,101,35,12,26,0.462,8,16,0.5,4,10,0.4,7,7,1,3,6,9,12,11,3,2,14
Aisha Sheppard,Rookie,23,0,174,35,10,42,0.23800000000000002,1,9,0.111,9,33,0.273,6,8,0.75,6,8,14,7,7,5,1,26
Charli Collier,Rookie,17,0,78,34,12,27,0.444,12,25,0.48,0,2,0,10,14,0.7140000000000001,4,6,10,2,10,1,0,19
DiDi Richards,Rookie,14,0,155,32,11,36,0.306,8,25,0.32,3,11,0.273,7,10,0.7,5,19,24,20,13,1,5,25
Kianna Smith,UFA,11,0,113,29,11,35,0.314,6,17,0.353,5,18,0.278,2,2,1,5,4,9,6,4,4,0,11
Alaina Coates,UFA,8,0,75,28,7,11,0.636,7,11,0.636,0,0,,14,15,0.9329999999999999,6,10,16,2,5,2,3,18
Khayla Pointer,ROS,10,0,58,22,7,12,0.583,6,8,0.75,1,4,0.25,7,14,0.5,1,7,8,2,9,2,0,2
Katie Benzan,Hardship,3,0,27,18,5,9,0.556,0,2,0,5,7,0.7140000000000001,3,4,0.75,1,1,2,1,2,0,1,7
Sparkle Taylor,Hardship,2,0,25,11,5,6,0.833,5,5,1,0,1,0,1,1,1,0,2,2,0,1,0,0,3
Sam Thomas,UFA,24,0,118,10,4,19,0.21100000000000002,3,4,0.75,1,15,0.067,1,1,1,2,3,5,6,4,6,2,12
Anneli Maley,Hardship,4,0,44,8,3,6,0.5,1,3,0.33299999999999996,2,3,0.667,0,0,,3,4,7,3,1,3,1,6
Kamiah Smalls,Hardship,3,0,34,4,2,8,0.25,2,4,0.5,0,4,0,0,0,,0,5,5,6,4,4,0,6
Amy Atwell,Rookie,4,1,32,3,1,9,0.111,0,3,0,1,6,0.16699999999999998,0,0,,1,1,2,2,2,0,0,1
Elissa Cunane,Hardship,3,0,10,2,1,2,0.5,1,1,1,0,1,0,0,0,,2,3,5,0,1,0,0,1
Tina Krajisnik,Hardship,2,0,5,0,0,1,0,0,1,0,0,0,,0,0,,0,0,0,2,0,1,0,2
Hannah Sjerven,Hardship,3,0,9,0,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,1,2
Raina Perez,Hardship,1,0,2,0,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0
Allie Quigley,UFA,34,34,895,386,130,304,0.428,80,163,0.491,50,141,0.355,76,80,0.95,18,68,86,97,45,24,7,50
Angel McCoughtry,UFA,2,2,20,12,3,8,0.375,3,7,0.429,0,1,0,6,6,1,0,6,6,2,3,1,2,3
Bria Hartley,UFA,13,0,123,39,14,37,0.37799999999999995,7,20,0.35,7,17,0.41200000000000003,4,6,0.667,1,11,12,14,10,4,0,7
Briann January,UFA,36,5,608,134,46,122,0.377,23,48,0.479,23,74,0.311,19,23,0.826,7,29,36,85,53,23,8,59
Destiny Slocum,"Hardship, Rookie",3,0,41,14,4,11,0.364,1,2,0.5,3,9,0.33299999999999996,3,5,0.6,0,4,4,4,5,0,0,4
Gabby Williams,RFA,36,36,920,269,108,243,0.444,90,173,0.52,18,70,0.257,35,45,0.778,43,136,179,111,52,54,13,59
Jazmine Jones,"ROS, UFA",8,0,47,6,2,8,0.25,2,5,0.4,0,3,0,2,5,0.4,0,2,2,1,3,2,0,5
Jennie Simms,"Hardship, UFA",23,4,303,79,30,63,0.47600000000000003,26,44,0.591,4,19,0.21100000000000002,15,19,0.789,13,38,51,20,24,12,1,38
Kaela Davis,"Hardship, UFA",7,0,55,34,13,21,0.619,9,15,0.6,4,6,0.667,4,5,0.8,3,6,9,1,6,2,0,9
Kiana Williams,"7D, Hardship, Rookie, UFA",4,0,29,5,2,8,0.25,1,4,0.25,1,4,0.25,0,0,,0,2,2,5,2,0,0,1
Liz Cambage,"Core, UFA",25,24,584,325,117,230,0.509,113,216,0.523,4,14,0.28600000000000003,87,111,0.784,33,127,160,52,57,17,41,79
Odyssey Sims,"Hardship, UFA",7,0,145,48,17,53,0.321,13,38,0.342,4,15,0.267,10,15,0.667,2,11,13,20,12,8,2,11
Rennia Davis,"Hardship, Rookie",8,0,43,10,5,13,0.385,5,11,0.455,0,2,0,0,0,,3,5,8,1,3,2,0,3
Reshanda Gray,"Hardship, ROS, UFA",27,0,237,59,25,57,0.439,22,43,0.512,3,14,0.214,6,9,0.667,16,37,53,11,27,7,5,56
Stephanie Jones,"Hardship, UFA",5,0,27,9,3,8,0.375,2,6,0.33299999999999996,1,2,0.5,2,2,1,1,1,2,2,0,1,0,5
Stephanie Talbot,"RFA, SuspCE, UFA",34,1,548,171,64,138,0.46399999999999997,35,65,0.5379999999999999,29,73,0.397,14,24,0.583,23,84,107,45,36,24,11,44
Sylvia Fowles,UFA,30,30,831,432,184,296,0.622,184,296,0.622,0,0,,64,97,0.66,74,220,294,36,64,31,36,73
